"P606t","A049","A071","p344p","incanon","p493p","a070p","a114p","A094","Gorx"
0,2,2,441.592,441.592,0,73,9,12,2
0.19,2,3,244.234,252.903475756666,0,72,4,12,3
0,2,2,483.785,489.045881410256,0,49,6,4,2
0,2,1,1341.64173076923,1341.64173076923,0,26,9,2,3
0,2,1,326.13,433.932463021042,0,58,5,12,2
0,1,2,315.87,321.140625,0,80,3,12,6
0,2,1,664.019,664.019,0,71,5,7,4
5.275,4,2,1570.39512820513,1570.39512820513,0,44,7,2,6
0,2,1,340.512,399.135365396311,0,72,4,12,1
3.32,1,1,271.345,277.429166666667,0,73,3,12,8
22.475,2,1,1391.072,1391.072,0,66,8,2,10
0,1,2,553.5695,559.196815705128,0,80,4,12,4
0.58,2,1,405.37,405.37,0,67,5,12,6
0,1,1,669.162,680.3898125,0,66,6,12,8
8.12,2,1,1501.6325,1501.6325,0,34,5,3,8
0,4,1,313,425.240128516495,0,41,5,12,5
0,3,1,822.335,822.335,0,54,7,3,8
0,2,1,487.08,487.08,0,61,5,6,12
0,2,1,494.762,494.762,0,78,6,12,6
12.255,2,1,1704.874,1704.874,0,67,4,12,8
0,2,1,424.1665,424.1665,0,70,3,12,9
5.955,5,1,2114.93,2114.93,0,45,7,2,8
10.225,4,1,585.14391025641,585.14391025641,0,40,8,4,12
0,1,1,632.14,636.750184294872,0,51,3,3,7
3.72,2,2,782.5,782.5,0,43,10,3,3
2.675,2,3,742.64,742.64,0,51,4,4,4
0,1,2,228.1,232.630048076923,0,80,5,12,2
5.615,3,1,765.65,765.65,0,55,7,8,5
0,3,2,404.77,565.124803021388,0,36,4,4,5
1,3,2,203.12,307.333546146596,0,26,5,4,5
5.08,2,1,1154.3,1154.3,0,48,4,5,2
5.25,3,1,508.68,508.68,0,60,9,11,2
10.015,6,1,506.66,624.531758604187,0,32,5,7,4
1.61,1,2,193.85,197.672403846154,0,71,4,12,11
0,2,3,2134.09,2134.09,0,51,8,3,11
0,1,2,51.6775,56.6855288461539,0,42,7,5,2
0.33,1,2,183.962,189.935613782051,0,67,5,12,4
0,2,1,483.964,483.964,0,68,5,12,1
0,3,1,506.02,506.02,0,30,5,6,3
0.16,2,1,774.85,774.85,0,64,5,2,7
0,1,1,111.55,216.250735409883,0,44,3,12,6
4.025,1,1,451.5325,455.879471153846,0,30,5,4,3
8.09,1,2,823.551538461538,823.551538461538,0,47,5,4,6
2.25,2,2,270,425.080765304237,0,44,4,5,9
60.225,2,2,1110.83,1110.83,0,64,8,5,8
0,4,2,671.752,671.752,0,42,5,12,6
3,5,1,385.9925,385.9925,0,46,9,5,12
0,1,2,349.9995,354.364836538462,0,80,3,12,2
0,2,1,1853.98,1853.98,0,56,7,2,8
3.25,3,1,681.58,681.58,0,37,4,3,2
0,1,1,370.77,374.78922275641,0,80,5,12,11
0,1,2,191.817,197.720950320513,0,80,5,12,2
0,1,2,280.012,339.747288461538,0,64,3,12,3
0,1,1,421.26,427.015088141026,0,39,6,8,2
0,4,3,716.28,716.28,0,33,5,6,11
1.9,3,2,624.01,624.01,0,32,4,4,1
0,1,2,185.35,189.726346153846,0,56,2,5,11
1.99,1,1,188.76,195.112884615385,0,64,4,3,7
0,1,2,197.772,204.579884615385,0,78,4,12,8
5.835,2,1,1484.24,1484.24,0,34,5,2,7
0,2,1,204.2465,204.2465,0,80,6,12,4
