"P606t","A049","A071","p344p","incanon","p493p","a070p","a114p","A094","Gorx"
0,5,1,515.57,515.57,0,46,5,8,5
0.5,1,2,221.432,255.962048076923,0,65,3,12,2
0.34,4,3,1399.31,1399.31,0,44,7,3,9
0,3,2,248.4,333.3312197341,0,23,5,3,2
0,1,1,273.312,279.771166666667,0,80,4,12,6
0,1,2,301.512,308.932889423077,0,75,5,12,6
5.5,2,1,1176.102,1176.102,0,77,8,12,7
19.08,2,1,620.7075,620.7075,0,63,8,1,2
0,4,1,2134.09,2134.09,0,48,10,1,7
0,3,2,134.05,242.134579533247,0,36,5,8,2
1.7,3,2,1199.87685897436,1199.87685897436,0,63,7,7,9
1.975,2,3,2134.09,2134.09,0,56,6,2,7
0,1,1,869.963846153846,876.116602564103,0,33,4,3,7
0,5,1,520.86,520.86,0,40,5,6,6
3.6,2,1,606.164,606.164,0,67,6,12,11
5.15,3,1,826.72,826.72,0,34,7,3,1
16.06,1,2,177.8775,185.122355769231,0,58,6,12,6
0.595,3,1,510.02,510.02,0,37,4,6,3
0,3,1,1036.7,1036.7,0,29,5,3,5
0,3,2,2134.09,2134.09,0,80,9,2,2
0,1,1,582.7425,587.976682692308,0,37,6,3,4
75,2,3,622.654,622.654,0,77,4,12,6
0,1,2,261.542,264.942,0,77,8,12,12
0.19,1,2,187.912,272.395390153292,0,64,3,12,2
0,5,1,452.78,563.875872043899,0,53,6,12,2
3.995,2,2,1040.33493589744,1040.33493589744,0,50,5,4,9
9.635,5,1,662.71,673.71,0,44,6,8,9
0,1,2,144.192,226.909221782201,0,52,6,12,5
46.475,1,2,788.5625,797.349278846154,0,61,6,3,6
0.69,3,1,269.19,287.19,0,25,6,8,5
4.62,1,1,152.042,156.865413461538,0,66,4,12,4
0,1,2,562.26,567.851586538462,0,32,3,3,6
0.105,2,1,1184.56,1184.56,0,52,7,6,1
0,4,1,1367.27,1367.27,0,43,5,2,12
0.79,3,1,1633.15,1633.15,0,52,5,7,6
0,4,2,1659.9,1659.9,0,42,7,3,7
0,4,1,659.26,659.26,0,45,5,7,11
11.71,4,3,1832.04,1832.04,0,37,6,1,9
0.5,2,2,434.834,434.834,0,80,3,12,4
39.5,2,1,402.744,402.744,0,71,7,12,8
8.12,3,1,995.4025,995.4025,0,57,6,4,4
2.1,2,1,505.904,505.904,0,73,8,12,4
6.37,3,1,2134.09,2134.09,0,54,7,3,1
28.05,2,3,956.49,956.49,0,65,6,12,11
2.12,4,1,1019.76384615385,1019.76384615385,0,50,5,2,6
2.1,1,2,151.23,254.786021643947,0,72,4,12,5
0,1,1,179.45,259.859928742262,0,68,4,12,5
0,2,1,426.544,426.544,0,71,6,12,3
18.3,5,1,1581.17,1581.17,0,48,5,4,11
0,3,1,1526.02,1526.02,0,47,5,6,8
0,2,1,1129.62,1129.62,0,51,6,2,3
0.27,2,2,754.742435897436,754.742435897436,0,63,7,3,7
0,2,1,2134.09,2134.09,0,33,5,1,7
0,3,1,766.42,766.42,0,39,5,5,1
2,1,2,453.624358974359,458.447772435897,0,33,5,4,4
1.925,2,1,723.312,723.312,0,72,10,7,12
0,2,1,416.85,416.85,0,61,6,12,10
2.5,2,2,887.95,887.95,0,48,4,3,4
0,2,1,577.53,586.485480769231,0,51,4,3,9
13.89,2,1,792.31,792.31,0,56,5,3,2
0.325,2,3,1675.78,1675.78,0,58,6,2,9
34.89,3,2,672.902,672.902,0,63,6,12,3
0,2,1,613.64,613.64,0,64,6,2,7
0,1,2,603.32,609.531282051282,0,52,5,7,8
0,1,2,713.98,718.770817307692,0,38,5,3,3
0,3,1,923.79,923.79,0,34,7,2,5
0,4,2,279.5,360.5,0,41,7,4,12
0,2,1,638,638,0,57,5,8,11
0,4,1,567.88,567.88,0,40,5,7,2
2.005,2,1,441.282,441.282,0,80,7,12,5
0,2,2,94.17,232.311783516226,0,44,7,5,8
42.25,1,1,705.782,712.506182692308,0,72,6,12,7
1.075,4,3,628.576,736.79784716748,0,56,5,8,2
7.5,2,1,817.094,817.094,0,73,10,12,9
0,4,2,1020.045,1020.045,0,44,8,5,12
21.285,1,2,400.47,405.474375,0,48,3,4,3
3.98,4,2,1545.98,1545.98,0,41,6,6,1
0,1,2,186.5445,193.453923076923,0,76,8,12,8
2.89,1,2,153.85,282.03569538599,0,71,4,12,3
0,1,2,250,254.525432692308,0,58,5,3,11
32.995,2,2,1336.33,1336.33,0,55,7,3,9
0.125,2,1,373.56,377.406153846154,0,65,2,12,9
0,4,1,2134.09,2134.09,0,50,9,3,12
1.875,2,2,449.435897435897,454.507363782051,0,43,6,4,3
3.72,3,1,529.24,529.24,0,52,5,7,1
104.5,4,3,1497.08,1497.08,0,44,5,3,1
14.5,2,1,662.649,662.649,0,68,6,12,8
1,2,1,552.334,552.334,0,67,5,12,4
4.25,3,3,596.92,596.92,0,36,5,2,8
0,1,1,195.712,201.668899038462,0,71,3,12,8
1.46,2,1,1002.17,1002.17,0,30,6,2,1
3,1,1,815.59,822.499423076923,0,31,2,6,8
0,3,2,1530.06,1530.06,0,53,4,1,6
50,3,1,1961.325,1961.325,0,51,8,1,8
0,2,1,1093.84,1093.84,0,30,4,6,8
0,4,1,1394.2,1394.2,0,43,5,1,9
0,1,2,995.145,1000.96243589744,0,37,9,2,2
0,1,2,532.6945,539.993009615385,0,66,5,5,8
0,1,1,970.35,978.123100961539,0,55,5,6,8
0,3,1,920.81,920.81,0,54,4,3,4
9,2,1,262.504,262.504,0,80,6,12,6
9.645,2,1,392.244,392.244,0,68,8,12,11
1.545,2,1,609.6025,609.6025,0,50,8,4,8
0,1,1,1360.73,1365.735625,0,36,3,3,5
24.705,2,1,1126.17,1126.17,0,57,8,4,4
1.64,2,3,675.97,675.97,0,27,4,8,6
5.16,4,1,685.035,685.035,0,34,6,3,10
0,3,1,824.27,824.27,0,26,6,7,3
3,1,2,305.072,312.492889423077,0,78,8,12,6
0,2,1,780.6825,780.6825,0,51,6,3,5
0,2,1,343.25,343.25,0,75,6,12,4
5.405,2,2,895.682,895.682,0,65,5,6,5
0,6,2,363.28,465.456710256438,0,49,6,9,2
0,1,1,366,371.59859775641,0,45,4,7,1
0,2,2,458.55,458.55,0,80,5,12,9
21.83,2,3,1205.22,1205.22,0,59,7,4,10
2.32,2,2,496.172,496.172,0,62,5,4,8
24.39,4,1,1255.26,1255.26,0,44,6,2,6
1.53,1,2,128.02,208.479166666667,0,75,4,12,6
0,4,1,442.72,442.72,0,41,5,7,5
1.525,5,1,412.2,634.820894004218,0,33,4,3,7
0.32,4,3,1080.7,1080.7,0,42,6,6,4
0,1,2,152.3295,156.692576923077,0,74,5,12,2
0,1,2,753.163333333333,760.408189102564,0,27,6,3,6
0.45,1,2,379.277,385.048802884615,0,79,4,12,6
0,2,1,845.785,845.785,0,73,8,3,9
6.475,5,1,1140.11,1140.11,0,35,5,6,6
0,4,1,1017.46,1017.46,0,35,4,4,1
0.25,1,2,320.26,325.606346153846,0,27,6,7,10
0,2,1,597.9,602.468413461538,0,31,3,7,5
1.945,5,1,1566.285,1566.285,0,56,7,3,5
11.79,2,1,1025.05,1025.05,0,37,4,3,7
0,4,2,1107.86833333333,1107.86833333333,0,29,6,4,5
0,1,1,148.35,257.940108334785,0,62,4,6,3
0,1,2,175.332,180.161903846154,0,66,4,12,6
2.5,2,2,686.2465,686.2465,0,73,7,12,8
0.19,9,1,507.5,567.984353440325,0,42,7,8,6
0,5,1,430.6,546.005171704424,0,38,6,9,7
3.87,1,1,916.42,916.42,0,77,6,12,7
0,2,2,825.29,825.29,0,28,4,2,3
0,4,1,967.81,967.81,0,42,6,5,9
0,6,2,373.9,479.221399039236,0,34,5,12,4
3.5,2,2,978.015384615385,978.015384615385,0,57,7,4,2
0,4,3,1463.2975,1463.2975,0,51,9,2,5
7,2,2,587.05,587.05,0,34,4,3,7
0,1,1,144.65,245.502200703985,0,51,5,7,6
0,3,3,810.51,810.51,0,47,7,6,10
1.745,2,2,1143.3775,1143.3775,0,76,6,4,6
0,2,1,1595.415,1595.415,0,29,4,3,11
0,5,1,735.7475,735.7475,0,56,6,3,8
34.64,2,1,1147.394,1147.394,0,65,5,7,2
0,2,1,948.042,948.042,0,71,7,12,6
58.935,3,1,1168.33,1168.33,0,70,5,3,10
3.565,6,1,561.27,561.27,0,40,7,4,10
0,4,2,314.45,416.064998137395,0,49,5,9,3
0,1,1,112.2,189.145418441577,0,48,5,3,1
1,2,1,706.424,706.424,0,80,6,12,2
0.245,3,3,726.79,726.79,0,61,5,7,4
5.235,3,2,1299.8,1299.8,0,29,4,4,7
4.025,1,2,197,201.884807692308,0,58,5,8,9
0,1,1,197.89,237.253076923077,0,67,4,12,2
0,1,2,470.58,475.814182692308,0,34,3,3,4
0,1,1,272.7295,278.926743589744,0,80,5,12,8
0,1,2,130.292,223.685922171606,0,66,5,12,1
0,1,2,153.85,314.580335316936,0,78,5,12,7
2.045,3,1,1300.89,1300.89,0,55,8,3,12
3.6,2,3,1083.76,1083.76,0,32,5,1,5
18.44,4,2,689.9,689.9,0,44,5,7,11
0.25,2,1,1115.6225,1115.6225,0,60,6,4,4
17,2,1,719.82,719.82,0,62,5,3,2
3.925,2,2,925.265,925.265,0,46,4,7,8
38.3,1,1,230.832,236.3773125,0,69,6,12,2
1.715,3,1,2134.09,2134.09,0,65,9,2,6
0,1,1,403.87,403.87,0,47,4,6,5
0,2,1,566.01,566.01,0,77,5,12,5
0,1,1,480.77,480.77,0,29,5,10,4
0.825,2,2,660.44,660.44,0,53,5,2,8
0,1,1,237.765,243.441618589744,0,51,2,4,8
2.995,2,3,204.224,309.783823937989,0,65,4,12,4
0.625,1,2,438.72,442.445480769231,0,62,3,7,11
4.305,4,1,500,500,0,20,8,10,3
16.84,2,2,788.46,788.46,0,26,6,10,11
19.045,4,1,1227.58,1227.58,0,53,6,3,2
1.9,4,2,1929.57,1929.57,0,46,5,3,8
0,1,1,249.77,262.388697428804,0,79,5,12,3
0,1,2,224.432,224.432,0,60,4,2,2
25.025,2,2,2134.09,2134.09,0,53,7,3,8
0,2,1,1035.67,1035.67,0,58,5,3,3
0,5,2,786.18,786.18,0,68,8,3,6
1.5,2,1,2134.09,2134.09,0,64,10,2,3
1.45,2,1,1033.212,1033.212,0,72,5,3,11
4.95,2,1,256.95,363.314162486036,0,70,5,12,9
0,2,1,1555.2625,1555.2625,0,37,5,3,8
3.72,4,1,360.49,466.49,0,47,7,9,3
0,2,2,605.252,605.252,0,63,5,12,2
1.495,5,2,785.1125,785.1125,0,22,8,10,9
0,2,3,2134.09,2134.09,0,32,6,2,8
0,1,1,143.85,190.693783314338,0,69,4,12,8
2.5,5,1,979.89,979.89,0,45,9,5,9
0,2,3,305.29,305.29,0,56,9,3,2
0,2,1,412.89,412.89,0,51,5,5,7
0,4,2,929.7,929.7,0,50,6,4,1
0,4,1,1484.5675,1484.5675,0,43,6,1,9
3.495,2,1,651.194,651.194,0,66,4,8,6
13.105,3,1,1545.95,1545.95,0,39,6,3,8
30.645,1,2,266.4625,272.815384615385,0,52,6,7,7
0.9,5,1,599.44,599.44,0,39,5,4,2
0,2,2,109,242.466165858711,0,27,3,7,8
10,2,1,241.212,241.212,0,70,5,12,8
4.15,2,2,488.14,488.14,0,53,6,4,6
0,3,2,981.35,981.35,0,45,5,1,7
1.45,2,2,123.482,188.843797658743,0,64,6,12,5
5.495,1,1,186.78,193.964935897436,0,80,5,12,4
0,2,1,400.314,400.314,0,69,7,12,2
5,1,1,581.122,590.191975961538,0,80,5,12,6
0,2,3,1014.44,1014.44,0,37,4,7,8
0.95,1,2,138.22,143.104807692308,0,66,2,6,9
0,3,2,1263.88,1263.88,0,53,7,3,6
0,1,1,50,50,0,20,5,9,11
12,1,2,208.482,213.366807692308,0,80,4,12,9
0,6,1,1634.17,1634.17,0,54,7,8,2
0,7,1,423.092,613.503610904272,0,50,6,9,7
1.02,2,1,1026.2,1026.2,0,62,5,6,6
0,1,1,177.342,239.033879313209,0,76,4,12,10
0,1,2,311.35,316.008461538462,0,58,4,8,8
15.815,2,1,304.6,304.6,0,71,6,12,3
1.245,2,2,783.5025,783.5025,0,36,4,4,10
1.11,4,2,305.57,467.711564691794,0,38,5,5,9
0,2,2,279.28,461.75719912628,0,49,4,8,7
0,1,2,688.67,693.537628205128,0,38,6,3,10
9.19,4,2,1744.605,1744.605,0,54,8,3,1
5.985,3,2,306.64,407.64,0,35,7,8,3
0,2,1,394.234,454.234,0,80,5,12,7
0,2,2,819.79,824.48858974359,0,36,5,2,11
4.1,1,1,290.26,295.151009615385,0,29,4,8,2
0,1,2,32.5,110.617383197003,0,53,4,7,2
7.35,2,2,1238.1995,1238.1995,0,75,4,12,7
0,3,1,927.61,927.61,0,33,5,3,2
0,2,1,313.185,313.185,0,57,7,5,8
5,3,1,2134.09,2134.09,0,36,7,3,7
0,1,1,99.0625,103.955,0,51,5,5,9
12.615,4,1,1643.17,1643.17,0,46,6,3,2
0,1,2,261.632,275.850413461538,0,80,10,12,8
0,2,1,1019.379,1019.379,0,78,6,12,8
0.75,3,2,859.99,859.99,0,51,9,5,2
2.19,3,2,1359.2725,1359.2725,0,50,10,8,3
0.75,2,1,419.22,419.22,0,71,4,12,8
0,2,1,467.0465,467.0465,0,77,7,12,6
0.5,3,1,192.3,283.814291223841,0,29,4,7,3
2.72,3,2,308.68,417.290712590704,0,28,6,7,6
1.335,2,1,472.284,472.284,0,66,6,12,2
0,1,1,542.412,547.479427884615,0,66,4,12,6
4.84,3,1,907.94,907.94,0,67,4,12,8
0,2,2,609.65,615.786161858974,0,42,4,3,4
1,3,1,957.69,957.69,0,58,8,5,10
1.5,3,2,324.97,415.766606085604,0,37,4,8,3
0,3,1,851.84,851.84,0,56,6,8,7
0,2,3,414.11,414.11,0,57,5,5,4
0.27,1,2,271.525,271.525,0,73,7,12,12
0,3,2,2134.09,2134.09,0,49,10,6,11
0.995,2,2,406.795,406.795,0,61,6,12,10
10.225,1,1,594.267,603.488225961539,0,67,6,12,8
0,2,1,457.492,463.653096177015,0,80,6,5,6
0.225,1,1,372.17,377.384903846154,0,40,3,7,9
0,1,1,650.26,667.658300423904,0,52,5,12,11
34.5,5,1,878.903397435897,878.903397435897,0,57,5,8,4
0.545,1,2,239.592,256.633684430651,0,75,3,12,8
0.595,1,2,192.722,198.009740384615,0,80,4,12,1
15.23,3,2,656.92,656.92,0,68,6,6,3
0,2,1,421.76,421.76,0,58,10,7,4
0.635,5,1,841.8,841.8,0,35,7,4,12
1.845,2,1,463.824,463.824,0,67,7,12,2
26.315,2,1,1504.99,1504.99,0,53,7,7,2
19,1,1,538.5,543.349182692308,0,76,3,12,7
0,3,2,1176.27,1176.27,0,50,5,4,6
0,2,1,669.28,676.157115384615,0,33,5,3,11
0,1,2,153.042,173.476135620008,0,78,6,12,3
0,3,1,921.51,921.51,0,47,5,4,2
0.325,2,2,669.86,675.680448717949,0,52,5,3,2
5.175,5,1,1500.44,1500.44,0,53,7,3,8
33.04,2,3,714.23,714.23,0,51,3,6,8
0,2,1,136.692,219.83258119891,0,59,6,8,11
8.015,6,2,536.76,636.58212452646,0,30,7,10,5
0,1,2,427.992,432.924932692308,0,67,4,12,2
0,1,2,448.5,453.110432692308,0,34,4,3,4
1.5,6,2,1316.46,1316.46,0,44,6,3,11
0.275,1,2,758.55,764.442788461538,0,25,5,2,3
10.135,3,1,545.794,545.794,0,68,5,12,1
9.745,4,1,866.1,866.1,0,47,6,2,8
32.26,2,1,542.584,542.584,0,69,7,12,5
0,2,2,547.72,547.72,0,80,10,3,11
0,2,1,1558.4,1558.4,0,34,5,3,10
0,1,2,212.22,217.310256410256,0,77,6,12,2
202.27,4,1,1799.07692307692,1799.07692307692,0,53,7,8,4
9.945,2,1,1224.08,1224.08,0,38,5,3,9
2.19,1,2,567.9495,574.215974358974,0,63,5,12,4
0,2,1,1118.16,1118.16,0,43,5,3,6
0,2,1,334.22,334.22,0,55,4,2,8
4.455,2,1,706.12,706.12,0,66,6,12,2
0.19,2,2,224.122,350.362128516495,0,66,4,12,5
1.995,4,1,862.9,862.9,0,49,5,6,11
0,2,1,114.05,183.326571022997,0,58,4,12,3
12.155,2,1,683.522,683.522,0,60,6,4,8
54.9,4,1,2040.975,2040.975,0,54,8,2,9
0,3,3,1045.45,1045.45,0,48,8,2,4
0.81,1,1,462.14,467.697371794872,0,53,5,5,8
2.1,2,1,454,454,0,67,7,12,9
0,1,2,344.7045,344.7045,0,76,5,12,1
10.9,1,1,225.772,231.948730769231,0,80,6,12,9
5.68,1,2,587.47,595.243100961539,0,75,6,12,8
0,3,1,583.015,583.015,0,30,5,3,4
0,1,2,476.43,483.381346153846,0,37,7,6,3
0,4,1,2026.3,2026.3,0,47,8,2,8
26.31,2,1,592.6,592.6,0,67,6,12,3
0,1,2,292.712,300.111399038462,0,80,7,12,2
0,4,2,2134.09,2134.09,0,41,9,3,6
19.455,2,1,251.19,387.162199314943,0,71,5,12,7
0,1,2,702.35,710.256955128205,0,30,6,2,7
14.25,2,2,824.67,824.67,0,29,4,8,4
0.265,1,2,204.042,209.969379807692,0,80,4,12,7
0,2,2,699.5,699.5,0,59,6,8,5
1.345,1,2,701.31,707.142884615385,0,44,3,4,9
0,2,1,138.544,138.544,0,75,5,12,8
0.72,3,1,1801.327,1801.327,0,64,4,6,11
0,2,1,236,324.441699347848,0,61,3,8,7
0,2,1,613.81,613.81,0,62,6,3,10
0,3,3,769,769,0,30,5,8,6
0,2,3,493.664,493.664,0,73,9,12,11
0,4,1,313.75,313.75,0,35,7,3,10
0,2,2,1024.34,1024.34,0,56,4,7,1
0,1,1,578.78,578.78,0,62,9,2,7
0,1,2,270.212,277.985100961538,0,75,6,12,8
0,2,1,239.224,321.413400222694,0,66,6,12,1
0,2,2,412.65,417.741378205128,0,43,4,7,6
11.065,5,1,1794.675,1794.675,0,50,8,2,8
0,3,1,1172.35,1172.35,0,36,6,5,8
0,3,2,739.32,746.047788461539,0,40,5,4,8
45.26,2,2,725.81,725.81,0,59,5,3,8
2.65,2,1,732.21,732.21,0,51,8,4,8
0,3,2,190.5,308.65455667779,0,54,5,11,1
0,3,1,278.7825,377.248974472485,0,45,5,5,2
0,3,2,505.63,505.63,0,54,5,6,4
1.2,2,2,562.074,562.074,0,76,4,8,6
31.25,3,1,531.165,531.165,0,39,6,4,6
0,1,2,106.922,248.002017269822,0,75,4,12,7
0,2,2,294.6595,356.084557425659,0,69,5,12,4
0,1,2,149.7595,287.509882514476,0,79,3,12,1
7.74,4,1,608.16,608.16,0,36,5,6,8
0,1,2,229.992,235.052528846154,0,80,6,12,2
9.665,3,1,545.655,545.655,0,51,8,4,2
1,3,1,320.33,358.517909575398,0,28,4,5,8
0,1,2,71,150,0,55,4,2,12
6.46,2,1,861.92,861.92,0,29,5,4,8
0,3,1,972.574871794872,972.574871794872,0,37,4,2,7
2.54,4,1,758.53,758.53,0,34,6,7,5
9.25,2,1,432.3915,432.3915,0,80,4,12,4
0,2,1,2134.09,2134.09,0,45,9,2,8
0,1,2,304.842,311.018730769231,0,77,5,12,9
0.735,1,1,299.64,304.517115384615,0,73,4,12,11
0,2,1,719.277,719.277,0,80,10,12,8
0,2,3,716.14,716.14,0,57,6,12,1
0.645,2,1,382.41,382.41,0,66,4,3,2
23.445,4,2,385.37,516.003483916884,0,35,6,4,2
0.86,3,1,1617.12,1617.12,0,54,7,6,9
0.57,4,1,459.1,493.034996842897,0,49,5,12,3
0,4,2,404.21,404.21,0,31,3,2,7
0.375,4,2,900.87,900.87,0,43,7,2,8
9.34,4,1,1689.63,1689.63,0,53,10,1,2
1,1,2,907.66,912.228413461538,0,42,4,1,5
2.375,2,1,319.114,319.114,0,80,3,12,4
5.235,2,1,1776.98,1776.98,0,72,10,12,10
0,4,2,798.175,798.175,0,43,7,4,6
0,1,1,825.9,832.853333333333,0,36,4,3,8
0,2,2,904.78,904.78,0,60,6,4,3
0.495,1,1,138.47,144.55405448718,0,59,6,8,9
0,2,3,388.87,428.662723070361,0,30,4,5,8
0,4,1,429.765,429.765,0,50,5,3,5
0,4,1,1557.69,1557.69,0,22,6,10,4
0,2,3,213.43,213.43,0,50,5,3,2
0,1,2,616.014871794872,622.700384615385,0,30,4,3,2
9.25,1,2,150.39,162.036153846154,0,63,10,12,8
4.795,2,2,158.64,158.64,0,56,5,7,6
0.275,2,3,972.66,972.66,0,53,6,7,11
10.495,2,2,979.6,979.6,0,47,4,3,8
3.48,3,3,664.03,664.03,0,58,7,6,2
0,6,1,367,549.30653770978,0,34,4,12,6
0,2,1,926.704,929.755314102564,0,76,9,12,5
0.64,1,2,367.8,372.809767628205,0,44,4,4,5
0,3,2,501.41,507.644663461538,0,42,6,4,7
3.94,2,1,1375.06,1375.06,0,35,4,3,7
0,1,2,1335.9,1344.58215544872,0,61,9,2,5
4.09,3,2,1176.04,1176.04,0,50,5,7,9
0.495,3,1,249.872,362.710735586896,0,65,5,12,5
0,1,2,72,156.292457788501,0,56,3,12,4
4.87,2,1,740.74,740.74,0,36,4,2,2
0.32,2,2,290.29,374.699514473463,0,34,4,7,8
0.38,1,2,284.752,387.698113041403,0,76,4,12,5
43.225,2,2,669.68,669.68,0,32,3,3,6
0,2,1,1223.13,1223.13,0,41,6,2,7
0,2,2,525.21,525.21,0,33,3,4,7
0,2,1,1367.812,1367.812,0,69,5,8,1
0,1,2,282.602,287.467673076923,0,80,5,12,8
0.25,2,2,408.11,408.11,0,55,6,5,3
0,2,1,1536.58,1536.58,0,52,8,1,2
0,2,2,258.492,352.69771556001,0,67,7,8,3
0,5,1,885.902,889.240685897436,0,50,6,7,2
2.41,1,1,161.66,166.619375,0,35,2,3,8
0,2,1,345.792,345.792,0,72,7,12,2
17.65,1,2,849.1475,853.98546474359,0,63,6,3,8
0,1,2,195.342,305.723261382641,0,65,4,12,6
0,1,2,216.77,303.606575642209,0,49,4,7,2
0,4,2,585.84,585.84,0,33,6,4,3
2.5,2,1,458.05,458.05,0,67,6,12,6
0,4,3,899.26,899.26,0,36,5,5,5
0.19,2,1,278.294,297.434506404053,0,80,6,12,3
0,2,2,396.795,402.446770833333,0,41,4,3,6
0,2,2,1167.18,1167.18,0,36,4,3,3
0,2,3,549.414,549.414,0,80,6,12,1
2.075,2,1,463.624,463.624,0,66,8,12,5
0,1,1,353.08,358.669286858974,0,59,6,5,3
5.225,7,2,1879.13,1879.13,0,34,5,3,8
0,2,1,103.85,180.351543548916,0,40,6,8,2
87.985,2,1,305.03,317.648808290155,0,80,5,12,11
0,3,1,2134.09,2134.09,0,38,9,4,6
0,3,2,290.54,383.168815290068,0,40,5,11,3
1.5,2,2,583.71,583.71,0,52,5,7,11
0,3,1,1531.6,1531.6,0,36,7,2,9
0,3,1,1241.37,1241.37,0,35,7,1,8
0.5,1,2,208.165,208.165,0,54,10,3,5
0,1,1,730.21,735.278605769231,0,31,4,6,1
3.865,6,1,633.692,650.531173891412,0,59,6,12,2
0,3,1,1949.3,1949.3,0,39,7,2,7
25.5,1,2,212.52,218.794807692308,0,66,5,3,9
0,2,1,883.59,883.59,0,37,4,3,2
0,1,1,57,57,0,17,3,9,6
0,1,1,436.677,444.450100961539,0,76,4,12,8
0.5,4,1,938.54,938.54,0,45,7,4,11
0,4,1,2116.43,2116.43,0,36,8,3,6
0,1,2,1532.09,1537.03466346154,0,27,3,1,7
0,6,1,556.5,692.127950022086,0,46,6,7,7
4.4,4,1,610,682.160671410188,0,33,4,5,11
0,1,1,399.661538461538,405.288854166667,0,46,6,8,4
0,1,1,445.302,450.785165064103,0,62,4,7,4
0,2,1,143.592,265.202914041229,0,33,4,9,1
0.745,2,3,1182.33,1182.33,0,51,5,3,5
0,2,1,139.74,165.013998859835,0,63,5,12,7
0,1,2,291.795,314.58003018308,0,80,6,12,10
0,1,1,129.172,207.499299670184,0,80,3,12,5
0,4,1,1044.63,1044.63,0,38,5,3,10
0,1,2,169.522,332.64243448114,0,76,3,12,2
0.195,2,2,257.06,261.883413461538,0,30,5,4,4
0,2,2,1395.41,1395.41,0,32,5,8,6
0,2,2,857.03,857.03,0,36,7,3,11
0.755,2,1,764.916217948718,764.916217948718,0,34,5,3,1
0,2,1,1186.6475,1186.6475,0,57,7,8,8
8.84,2,2,2134.09,2134.09,0,75,7,12,6
0,1,1,149.442,265.945555589917,0,63,3,12,6
5.3,2,1,662.564,662.564,0,68,6,12,11
0,1,1,295.222,300.920942307692,0,75,4,12,9
0.125,1,2,281.92,288.664166666667,0,22,3,6,8
62.96,2,1,408.475,414.219409340385,0,57,5,5,6
2.3,2,1,678.405,678.405,0,63,7,4,9
0,1,2,183.45,276.549003897849,0,57,3,9,11
1.45,3,1,1235.98102564103,1235.98102564103,0,30,4,8,8
4.025,2,2,411.05,497.05,0,72,5,7,5
0,2,1,1003.14,1003.14,0,56,6,3,6
0.495,1,1,42.48,129.046001943624,0,72,3,12,5
15,2,2,199.0865,223.922322977807,0,70,4,12,6
0,7,1,287.6,428.6,0,41,5,8,3
0,1,2,431.902,439.200160349462,0,77,4,12,11
4.1,5,1,634.45,634.45,0,37,5,7,4
0,2,1,150.85,257.384247479226,0,25,4,9,3
3.94,4,2,2134.09,2134.09,0,45,9,1,8
0,2,1,716.33,716.33,0,66,6,12,2
0.4,2,2,418.454,418.454,0,80,5,12,7
0,2,1,314.15,399.248850273224,0,63,3,12,11
0,1,2,397,402.236314102564,0,51,6,6,1
5.345,5,1,850.71,850.71,0,46,6,4,2
2.1,1,1,365.75,375.643708565308,0,67,10,12,4
3.46,2,1,635.135,635.135,0,35,7,6,6
45,2,1,1139.924,1139.924,0,75,9,12,8
0,3,1,2134.09,2134.09,0,58,10,2,2
0,1,2,288.362,288.362,0,67,7,12,12
1.975,1,2,216.557,262.082677556852,0,76,3,12,5
25.75,4,2,2134.09,2134.09,0,46,9,1,4
0.86,4,1,1696.51,1696.51,0,46,9,2,11
0,2,1,440.864,440.864,0,80,9,12,6
14.525,2,1,549.19,549.19,0,39,5,3,4
0,4,2,404.862,719.002586552376,0,32,5,9,7
7.75,5,2,1182.8875,1182.8875,0,42,7,3,1
0,4,2,242.37,247.790975237567,0,32,7,5,2
1,4,3,160.07,160.07,0,35,8,5,12
0,1,1,441.502,446.562528846154,0,80,4,12,2
7.27,4,3,245.63,245.63,0,28,5,8,9
20.99,2,1,1247.61,1247.61,0,78,10,12,6
2.175,2,2,618.72,618.72,0,70,6,8,7
5.635,3,3,673.08,673.08,0,46,6,5,3
0,4,3,617.47,617.47,0,30,4,7,5
1.3,3,2,213.775,327.803133341534,0,47,4,12,9
0.5,1,2,118.962,127.184852564103,0,80,5,12,8
0,2,2,1424.55,1424.55,0,56,5,3,5
0.115,2,1,1498.82,1498.82,0,52,6,3,8
0,4,1,1465.19,1465.19,0,53,6,5,6
9.99,5,3,2134.09,2134.09,0,47,9,2,8
0,3,2,333.55,465.750399657437,0,39,5,8,4
1.495,3,1,249.462,375.801153945498,0,45,5,12,8
12.02,2,1,1093.33711538462,1093.33711538462,0,28,6,2,3
5.985,3,1,495.945,495.945,0,60,8,3,5
4.92,5,1,417.28,417.28,0,39,5,5,9
0,1,2,203.672,207.852256410256,0,73,5,12,11
0,1,1,142.04,221.405748975771,0,62,3,12,4
1,2,1,402.102,402.102,0,66,6,12,6
0.72,2,1,273.962,273.962,0,78,5,12,1
0,3,1,318.102,434.482001290822,0,67,7,12,6
4.785,3,1,798.5815,798.5815,0,80,5,12,2
1.66,2,2,594.46,594.46,0,80,5,12,5
0,2,2,465,591.765473990541,0,25,2,7,6
0,2,1,709.222307692308,709.222307692308,0,80,5,7,2
0,2,1,338.994,338.994,0,77,7,11,8
80,2,1,1338.9115,1338.9115,0,75,7,12,7
0,1,1,165.572,171.264604166667,0,72,5,12,3
